categoria,ano,valor_mt
Agricultura,2000,376.0
Agropecuaria (finalidade nao identificada),2000,15.0
Cimento,2000,26.0
Edificacoes,2000,30.0
Geracao de eletricidade,2000,24.0
Metalurgia,2000,47.0
Outras materias primas e industrias,2000,33.0
Outros (geral),2000,17.0
Pecuaria,2000,1692.0
Producao Industrial,2000,3.0
Producao de combustiveis,2000,31.0
Quimica,2000,22.0
Saneamento Basico,2000,49.0
Transporte de carga,2000,68.0
Transporte de passageiros,2000,62.0
Vegetacao nativa,2000,32.0
Agricultura,2001,368.0
Agropecuaria (finalidade nao identificada),2001,16.0
Cimento,2001,26.0
Edificacoes,2001,30.0
Geracao de eletricidade,2001,28.0
Metalurgia,2001,45.0
Outras materias primas e industrias,2001,32.0
Outros (geral),2001,16.0
Pecuaria,2001,1778.0
Producao Industrial,2001,3.0
Producao de combustiveis,2001,32.0
Quimica,2001,21.0
Saneamento Basico,2001,52.0
Transporte de carga,2001,70.0
Transporte de passageiros,2001,63.0
Vegetacao nativa,2001,26.0
Agricultura,2002,365.0
Agropecuaria (finalidade nao identificada),2002,16.0
Cimento,2002,25.0
Edificacoes,2002,31.0
Geracao de eletricidade,2002,23.0
Metalurgia,2002,49.0
Outras materias primas e industrias,2002,33.0
Outros (geral),2002,16.0
Pecuaria,2002,1897.0
Producao Industrial,2002,3.0
Producao de combustiveis,2002,33.0
Quimica,2002,22.0
Saneamento Basico,2002,55.0
Transporte de carga,2002,73.0
Transporte de passageiros,2002,63.0
Vegetacao nativa,2002,25.0
Agricultura,2003,500.0
Agropecuaria (finalidade nao identificada),2003,16.0
Cimento,2003,22.0
Edificacoes,2003,29.0
Geracao de eletricidade,2003,22.0
Metalurgia,2003,52.0
Outras materias primas e industrias,2003,32.0
Outros (geral),2003,19.0
Pecuaria,2003,2360.0
Producao Industrial,2003,3.0
Producao de combustiveis,2003,33.0
Quimica,2003,21.0
Saneamento Basico,2003,57.0
Transporte de carga,2003,71.0
Transporte de passageiros,2003,62.0
Vegetacao nativa,2003,30.0
Agricultura,2004,510.0
Agropecuaria (finalidade nao identificada),2004,16.0
Cimento,2004,21.0
Edificacoes,2004,30.0
Geracao de eletricidade,2004,27.0
Metalurgia,2004,53.0
Outras materias primas e industrias,2004,33.0
Outros (geral),2004,17.0
Pecuaria,2004,2261.0
Producao Industrial,2004,4.0
Producao de combustiveis,2004,34.0
Quimica,2004,24.0
Saneamento Basico,2004,59.0
Transporte de carga,2004,76.0
Transporte de passageiros,2004,65.0
Vegetacao nativa,2004,29.0
Agricultura,2005,382.0
