categoria,ano,emissao_mt
Agropecuaria,2000,15.0
Alteracoes de uso da terra,2000,1575.0
Carbono organico no solo,2000,28.0
Comercial,2000,2.0
Cultivo de arroz,2000,10.0
Disposicao final,2000,28.0
Efluentes domesticos,2000,20.0
Efluentes liquidos industriais,2000,3.0
Fermentacao enterica,2000,312.0
Geracao de eletricidade (servico publico),2000,19.0
Incineracao ou queima a ceu aberto,2000,1.0
Industria Quimica,2000,7.0
Industrial,2000,64.0
Manejo de dejetos animais,2000,18.0
Producao de combustiveis,2000,33.0
Producao de metais,2000,38.0
Producao e uso de CFs,2000,0.0
Producao e uso de HFCs,2000,1.0
Produtos minerais,2000,22.0
Publico,2000,2.0
Queima de residuos agricolas,2000,2.0
Residencial,2000,25.0
Residuos florestais,2000,77.0
Solos manejados,2000,95.0
Transportes,2000,129.0
Tratamento biologico de residuos solidos,2000,0.0
Uso de SF6 em equipamentos eletricos,2000,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2000,1.0
Agropecuaria,2001,16.0
Alteracoes de uso da terra,2001,1626.0
Carbono organico no solo,2001,28.0
Comercial,2001,2.0
Cultivo de arroz,2001,10.0
Disposicao final,2001,31.0
Efluentes domesticos,2001,20.0
Efluentes liquidos industriais,2001,3.0
Fermentacao enterica,2001,326.0
Geracao de eletricidade (servico publico),2001,22.0
Incineracao ou queima a ceu aberto,2001,2.0
Industria Quimica,2001,6.0
Industrial,2001,64.0
Manejo de dejetos animais,2001,19.0
Producao de combustiveis,2001,36.0
Producao de metais,2001,37.0
Producao e uso de CFs,2001,0.0
Producao e uso de HFCs,2001,1.0
Produtos minerais,2001,21.0
Publico,2001,2.0
Queima de residuos agricolas,2001,2.0
Residencial,2001,26.0
Residuos florestais,2001,80.0
Solos manejados,2001,97.0
Transportes,2001,132.0
Tratamento biologico de residuos solidos,2001,0.0
Uso de SF6 em equipamentos eletricos,2001,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2001,1.0
Agropecuaria,2002,16.0
Alteracoes de uso da terra,2002,1723.0
Carbono organico no solo,2002,28.0
Comercial,2002,3.0
Cultivo de arroz,2002,10.0
Disposicao final,2002,33.0
Efluentes domesticos,2002,20.0
Efluentes liquidos industriais,2002,3.0
Fermentacao enterica,2002,331.0
Geracao de eletricidade (servico publico),2002,17.0
Incineracao ou queima a ceu aberto,2002,2.0
Industria Quimica,2002,7.0
Industrial,2002,64.0
Manejo de dejetos animais,2002,19.0
Producao de combustiveis,2002,35.0
Producao de metais,2002,40.0
Producao e uso de CFs,2002,0.0
Producao e uso de HFCs,2002,1.0
Produtos minerais,2002,20.0
Publico,2002,2.0
Queima de residuos agricolas,2002,2.0
Residencial,2002,26.0
Residuos florestais,2002,85.0
Solos manejados,2002,105.0
Transportes,2002,135.0
Tratamento biologico de residuos solidos,2002,0.0
Uso de SF6 em equipamentos eletricos,2002,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2002,1.0
Agropecuaria,2003,16.0
Alteracoes de uso da terra,2003,2266.0
Carbono organico no solo,2003,34.0
Comercial,2003,2.0
Cultivo de arroz,2003,10.0
Disposicao final,2003,35.0
Efluentes domesticos,2003,21.0
Efluentes liquidos industriais,2003,3.0
Fermentacao enterica,2003,349.0
Geracao de eletricidade (servico publico),2003,16.0
Incineracao ou queima a ceu aberto,2003,2.0
Industria Quimica,2003,7.0
Industrial,2003,62.0
Manejo de dejetos animais,2003,20.0
Producao de combustiveis,2003,35.0
Producao de metais,2003,42.0
Producao e uso de CFs,2003,0.0
Producao e uso de HFCs,2003,1.0
Produtos minerais,2003,19.0
Publico,2003,2.0
Queima de residuos agricolas,2003,2.0
Residencial,2003,25.0
Residuos florestais,2003,113.0
Solos manejados,2003,116.0
Transportes,2003,132.0
Tratamento biologico de residuos solidos,2003,0.0
Uso de SF6 em equipamentos eletricos,2003,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2003,1.0
Agropecuaria,2004,16.0
Alteracoes de uso da terra,2004,2156.0
Carbono organico no solo,2004,36.0
Comercial,2004,2.0
Cultivo de arroz,2004,11.0
Disposicao final,2004,36.0
Efluentes domesticos,2004,21.0
Efluentes liquidos industriais,2004,4.0
Fermentacao enterica,2004,365.0
Geracao de eletricidade (servico publico),2004,20.0
Incineracao ou queima a ceu aberto,2004,2.0
Industria Quimica,2004,9.0
Industrial,2004,63.0
Manejo de dejetos animais,2004,21.0
Producao de combustiveis,2004,37.0
Producao de metais,2004,42.0
Producao e uso de CFs,2004,0.0
Producao e uso de HFCs,2004,1.0
Produtos minerais,2004,19.0
Publico,2004,2.0
Queima de residuos agricolas,2004,2.0
Residencial,2004,26.0
Residuos florestais,2004,107.0
Solos manejados,2004,118.0
Transportes,2004,141.0
Tratamento biologico de residuos solidos,2004,0.0
Uso de SF6 em equipamentos eletricos,2004,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2004,1.0
Agropecuaria,2005,16.0
Alteracoes de uso da terra,2005,1781.0
Carbono organico no solo,2005,27.0
Comercial,2005,2.0
