categoria,ano,emissao_mt
Acre,2000,41.0
Alagoas,2000,7.0
Amapa,2000,4.0
Amazonas,2000,41.0
Bahia,2000,102.0
Ceara,2000,26.0
Distrito Federal,2000,6.0
Espirito Santo,2000,23.0
Goias,2000,100.0
Maranhao,2000,149.0
Mato Grosso,2000,476.0
Mato Grosso do Sul,2000,105.0
Minas Gerais,2000,175.0
Nao Alocado,2000,70.0
Para,2000,431.0
Paraiba,2000,9.0
Parana,2000,76.0
Pernambuco,2000,17.0
Piaui,2000,20.0
Rio Grande do Norte,2000,10.0
Rio Grande do Sul,2000,109.0
Rio de Janeiro,2000,46.0
Rondonia,2000,174.0
Roraima,2000,25.0
Santa Catarina,2000,44.0
Sao Paulo,2000,152.0
Sergipe,2000,7.0
Tocantins,2000,82.0
Acre,2001,36.0
Alagoas,2001,7.0
Amapa,2001,3.0
Amazonas,2001,36.0
Bahia,2001,97.0
Ceara,2001,24.0
Distrito Federal,2001,6.0
Espirito Santo,2001,21.0
Goias,2001,95.0
Maranhao,2001,122.0
Mato Grosso,2001,490.0
Mato Grosso do Sul,2001,102.0
Minas Gerais,2001,168.0
Nao Alocado,2001,62.0
Para,2001,563.0
Paraiba,2001,9.0
Parana,2001,73.0
Pernambuco,2001,18.0
Piaui,2001,24.0
Rio Grande do Norte,2001,9.0
Rio Grande do Sul,2001,105.0
Rio de Janeiro,2001,46.0
Rondonia,2001,183.0
Roraima,2001,30.0
Santa Catarina,2001,43.0
Sao Paulo,2001,153.0
Sergipe,2001,7.0
Tocantins,2001,77.0
Acre,2002,54.0
Alagoas,2002,7.0
Amapa,2002,4.0
Amazonas,2002,48.0
Bahia,2002,94.0
Ceara,2002,24.0
Distrito Federal,2002,6.0
Espirito Santo,2002,21.0
Goias,2002,96.0
Maranhao,2002,115.0
Mato Grosso,2002,626.0
Mato Grosso do Sul,2002,101.0
Minas Gerais,2002,177.0
Nao Alocado,2002,68.0
Para,2002,505.0
Paraiba,2002,9.0
Parana,2002,73.0
Pernambuco,2002,18.0
Piaui,2002,19.0
Rio Grande do Norte,2002,9.0
Rio Grande do Sul,2002,101.0
Rio de Janeiro,2002,48.0
Rondonia,2002,218.0
Roraima,2002,24.0
Santa Catarina,2002,44.0
Sao Paulo,2002,150.0
Sergipe,2002,7.0
Tocantins,2002,62.0
Acre,2003,58.0
Alagoas,2003,7.0
Amapa,2003,3.0
Amazonas,2003,75.0
Bahia,2003,89.0
Ceara,2003,24.0
Distrito Federal,2003,6.0
Espirito Santo,2003,21.0
Goias,2003,102.0
Maranhao,2003,167.0
Mato Grosso,2003,888.0
Mato Grosso do Sul,2003,122.0
Minas Gerais,2003,179.0
Nao Alocado,2003,70.0
Para,2003,629.0
Paraiba,2003,9.0
Parana,2003,77.0
Pernambuco,2003,17.0
Piaui,2003,18.0
Rio Grande do Norte,2003,9.0
Rio Grande do Sul,2003,111.0
Rio de Janeiro,2003,47.0
Rondonia,2003,306.0
Roraima,2003,28.0
Santa Catarina,2003,45.0
Sao Paulo,2003,151.0
Sergipe,2003,7.0
Tocantins,2003,67.0
Acre,2004,45.0
Alagoas,2004,7.0
Amapa,2004,3.0
Amazonas,2004,65.0
Bahia,2004,112.0
Ceara,2004,26.0
Distrito Federal,2004,6.0
Espirito Santo,2004,21.0
Goias,2004,105.0
Maranhao,2004,148.0
Mato Grosso,2004,785.0
Mato Grosso do Sul,2004,106.0
Minas Gerais,2004,189.0
Nao Alocado,2004,76.0
Para,2004,698.0
Paraiba,2004,9.0
Parana,2004,74.0
Pernambuco,2004,19.0
Piaui,2004,32.0
Rio Grande do Norte,2004,10.0
Rio Grande do Sul,2004,114.0
Rio de Janeiro,2004,48.0
Rondonia,2004,259.0
Roraima,2004,25.0
Santa Catarina,2004,44.0
Sao Paulo,2004,150.0
Sergipe,2004,7.0
Tocantins,2004,75.0
Acre,2005,46.0
Alagoas,2005,7.0
Amapa,2005,3.0
Amazonas,2005,73.0
Bahia,2005,99.0
Ceara,2005,26.0
Distrito Federal,2005,6.0
Espirito Santo,2005,20.0
Goias,2005,94.0
Maranhao,2005,139.0
Mato Grosso,2005,607.0
Mato Grosso do Sul,2005,100.0
Minas Gerais,2005,181.0
Nao Alocado,2005,77.0
Para,2005,567.0
Paraiba,2005,9.0
Parana,2005,70.0
Pernambuco,2005,19.0
Piaui,2005,26.0
Rio Grande do Norte,2005,10.0
Rio Grande do Sul,2005,101.0
Rio de Janeiro,2005,52.0
Rondonia,2005,249.0
Roraima,2005,25.0
Santa Catarina,2005,44.0
Sao Paulo,2005,146.0
Sergipe,2005,7.0
Tocantins,2005,67.0
Acre,2006,37.0
Alagoas,2006,7.0
Amapa,2006,3.0
Amazonas,2006,70.0
Bahia,2006,93.0
Ceara,2006,26.0
Distrito Federal,2006,6.0
Espirito Santo,2006,21.0
Goias,2006,86.0
Maranhao,2006,141.0
