regiao,ano,emissao_mt
Centro-Oeste,2000,686.4035
Nao Identificado,2000,69.5389
Nordeste,2000,347.158
Norte,2000,798.7231
Sudeste,2000,395.7504
Sul,2000,229.0215
Centro-Oeste,2001,692.0472
Nao Identificado,2001,62.3713
Nordeste,2001,317.2488
Norte,2001,926.7673
Sudeste,2001,386.8282
Sul,2001,221.4007
Centro-Oeste,2002,828.4925
Nao Identificado,2002,67.7794
Nordeste,2002,303.3815
Norte,2002,914.9624
Sudeste,2002,395.7269
Sul,2002,217.8558
Centro-Oeste,2003,1117.025
Nao Identificado,2003,70.3059
Nordeste,2003,347.5666
Norte,2003,1164.1783
Sudeste,2003,397.2589
Sul,2003,232.9836
Centro-Oeste,2004,1001.2397
Nao Identificado,2004,75.8496
Nordeste,2004,369.6145
Norte,2004,1172.2575
Sudeste,2004,407.8365
Sul,2004,231.187
Centro-Oeste,2005,807.0027
Nao Identificado,2005,76.5472
Nordeste,2005,342.203
Norte,2005,1028.5523
Sudeste,2005,399.4382
Sul,2005,214.9622
Centro-Oeste,2006,573.4178
Nao Identificado,2006,77.7394
Nordeste,2006,333.5079
Norte,2006,903.9635
Sudeste,2006,398.7758
Sul,2006,214.4883
Centro-Oeste,2007,459.2769
Nao Identificado,2007,58.3913
Nordeste,2007,355.2241
Norte,2007,752.4473
Sudeste,2007,421.8403
Sul,2007,205.9732
Centro-Oeste,2008,477.3657
Nao Identificado,2008,57.7196
Nordeste,2008,343.0679
Norte,2008,733.3521
Sudeste,2008,424.1635
Sul,2008,225.9457
Centro-Oeste,2009,350.2443
Nao Identificado,2009,53.3695
Nordeste,2009,305.2237
Norte,2009,541.056
Sudeste,2009,407.432
Sul,2009,214.6277
Centro-Oeste,2010,352.8521
Nao Identificado,2010,58.6379
Nordeste,2010,302.3375
Norte,2010,506.0544
Sudeste,2010,426.885
Sul,2010,229.3835
Centro-Oeste,2011,395.0813
Nao Identificado,2011,63.0885
Nordeste,2011,307.4527
Norte,2011,493.4532
Sudeste,2011,441.3755
Sul,2011,224.7537
Centro-Oeste,2012,383.4538
Nao Identificado,2012,62.3449
Nordeste,2012,363.3728
Norte,2012,509.6875
Sudeste,2012,459.2258
Sul,2012,232.3274
Centro-Oeste,2013,440.0554
Nao Identificado,2013,62.8712
Nordeste,2013,364.701
Norte,2013,590.3898
Sudeste,2013,475.9563
Sul,2013,254.3268
Centro-Oeste,2014,418.0023
Nao Identificado,2014,73.6236
Nordeste,2014,355.1102
Norte,2014,587.1141
Sudeste,2014,466.7114
Sul,2014,241.921
Centro-Oeste,2015,439.3742
Nao Identificado,2015,72.8519
Nordeste,2015,358.1809
Norte,2015,695.1982
Sudeste,2015,451.8289
Sul,2015,240.3812
Centro-Oeste,2016,400.1733
Nao Identificado,2016,60.4437
Nordeste,2016,342.3081
Norte,2016,755.6061
Sudeste,2016,432.046
Sul,2016,233.1702
Centro-Oeste,2017,406.9502
Nao Identificado,2017,65.5778
Nordeste,2017,324.8828
Norte,2017,640.7483
Sudeste,2017,432.9048
Sul,2017,235.9161
Centro-Oeste,2018,407.2336
Nao Identificado,2018,65.9105
Nordeste,2018,322.6886
Norte,2018,660.7007
Sudeste,2018,417.6847
Sul,2018,231.1761
Centro-Oeste,2019,476.4354
Nao Identificado,2019,66.349
Nordeste,2019,366.035
Norte,2019,940.0181
Sudeste,2019,416.2261
Sul,2019,241.7203
Centro-Oeste,2020,470.0047
Nao Identificado,2020,61.0701
Nordeste,2020,380.4916
Norte,2020,928.3438
Sudeste,2020,412.4036
Sul,2020,226.6247
Centro-Oeste,2021,470.9828
Nao Identificado,2021,64.7522
Nordeste,2021,387.5434
Norte,2021,1065.6547
Sudeste,2021,433.9828
Sul,2021,255.6234
Centro-Oeste,2022,518.7018
Nao Identificado,2022,62.9314
Nordeste,2022,416.3842
Norte,2022,1065.7991
Sudeste,2022,436.8186
Sul,2022,237.1874
Centro-Oeste,2023,526.6564
Nao Identificado,2023,60.8804
Nordeste,2023,456.9205
Norte,2023,872.8755
Sudeste,2023,434.204
Sul,2023,224.2748
Centro-Oeste,2024,407.4774
Nao Identificado,2024,61.6849
Nordeste,2024,407.0751
Norte,2024,613.3072
Sudeste,2024,435.8673
Sul,2024,219.8138
