categoria,ano,emissao_mt
Aereo,2000,9.61
Agropecuaria,2000,14.7898
Aplicacao de residuos organicos,2000,3.5897
Cimento,2000,10.4483
Corretivo agricola,2000,9.4504
Cultivo em sistema irrigado inundado,2000,10.3111
Deposicao de dejetos em pastagem,2000,50.9551
Desmatamento,2000,1622.2422
Disposicao em aterros controlados ou lixoes,2000,18.2135
Disposicao final em aterros sanitarios,2000,10.0689
Exploracao de petroleo e gas natural,2000,9.1977
Ferro gusa e aco,2000,5.0705
Fertilizantes sinteticos nitrogenados,2000,10.7259
Geracao de eletricidade (servico publico),2000,19.1311
Nao ferrosos e outros da metalurgia,2000,4.2655
Outras industrias,2000,7.1074
Outras mudancas de uso da terra,2000,25.2124
Outros,2000,55.08
Processo de digestao de animais ruminantes,2000,312.3642
Producao de cal,2000,4.7563
Producao de cimento,2000,16.047
Producao de ferro gusa e aco,2000,33.1371
Quimica,2000,16.0092
Refino de petroleo,2000,20.8949
Regeneracao,2000,31.8196
Residencial,2000,25.2689
Residuos agricolas,2000,17.1047
Rodoviario,2000,115.3743
Tratamento e despejo de efluentes domesticos,2000,19.6626
Tratamento e disposicao de dejetos animais,2000,18.201
Uso em equipamento ou produto,2000,0.4859
Aereo,2001,9.8811
Agropecuaria,2001,16.1975
Aplicacao de residuos organicos,2001,3.7094
Cimento,2001,10.9685
Corretivo agricola,2001,8.623
Cultivo em sistema irrigado inundado,2001,10.0621
Deposicao de dejetos em pastagem,2001,52.6899
Desmatamento,2001,1679.7641
Disposicao em aterros controlados ou lixoes,2001,18.6326
Disposicao final em aterros sanitarios,2001,12.1555
Exploracao de petroleo e gas natural,2001,10.2037
Ferro gusa e aco,2001,5.0486
Fertilizantes sinteticos nitrogenados,2001,10.6261
Geracao de eletricidade (servico publico),2001,21.6886
Nao ferrosos e outros da metalurgia,2001,3.9876
Outras industrias,2001,6.6332
Outras mudancas de uso da terra,2001,27.2996
Outros,2001,54.6045
Processo de digestao de animais ruminantes,2001,325.9853
Producao de cal,2001,4.569
Producao de cimento,2001,15.2268
Producao de ferro gusa e aco,2001,32.7621
Quimica,2001,16.5396
Refino de petroleo,2001,21.7465
Regeneracao,2001,26.4066
Residencial,2001,25.6546
Residuos agricolas,2001,18.1924
Rodoviario,2001,117.1858
Tratamento e despejo de efluentes domesticos,2001,19.9343
Tratamento e disposicao de dejetos animais,2001,19.0731
Uso em equipamento ou produto,2001,0.6121
Aereo,2002,9.4658
Agropecuaria,2002,15.8977
Aplicacao de residuos organicos,2002,3.84
Cimento,2002,10.2524
Corretivo agricola,2002,10.6306
Cultivo em sistema irrigado inundado,2002,10.465
Deposicao de dejetos em pastagem,2002,55.0753
Desmatamento,2002,1784.0774
Disposicao em aterros controlados ou lixoes,2002,18.9126
Disposicao final em aterros sanitarios,2002,14.0781
Exploracao de petroleo e gas natural,2002,10.3838
Ferro gusa e aco,2002,5.4084
Fertilizantes sinteticos nitrogenados,2002,11.6808
