Dados,"606.152.118,73",classe_original_en,area_ha_raw,ano,area_ha,classe_nivel_1,grupo_uso,pais,escopo_geografico,nivel_classe,colecao_mapbiomas,unidade_medida,_camada,_arquivo_origem,_data_processamento,_periodo_integracao
Soma de 2000,"558.642.159,22","54.472.050,96","51.097.021,67",2000,51097021.67,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2001,"555.792.008,36","54.472.050,96","51.438.309,67",2001,51438309.67,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2002,"552.650.952,31","54.472.050,96","50.785.181,69",2002,50785181.69,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2003,"548.489.885,77","54.472.050,96","50.938.636,29",2003,50938636.29,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2004,"544.370.117,95","54.472.050,96","50.885.507,60",2004,50885507.6,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2005,"541.377.218,72","54.472.050,96","50.453.473,01",2005,50453473.01,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2006,"539.042.039,62","54.472.050,96","49.750.191,81",2006,49750191.81,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2007,"537.308.261,51","54.472.050,96","49.454.861,69",2007,49454861.69,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2008,"535.395.816,44","54.472.050,96","49.423.922,62",2008,49423922.62,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2009,"534.145.201,62","54.472.050,96","49.748.834,64",2009,49748834.64,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2010,"533.346.940,42","54.472.050,96","49.701.830,66",2010,49701830.66,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2011,"532.385.357,40","54.472.050,96","48.822.036,99",2011,48822036.99,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2012,"531.022.755,15","54.472.050,96","49.348.158,37",2012,49348158.37,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2013,"529.313.742,30","54.472.050,96","49.091.560,29",2013,49091560.29,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
Soma de 2014,"527.796.039,31","54.472.050,96","48.312.958,54",2014,48312958.54,,Outros,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,mapbiomas-uso-e-cobertura-solo.csv,20260623_203618,2000–2024
