ano,classe_nivel_1_en,classe_nivel_1,grupo_uso,area_ha,pais,escopo_geografico,nivel_classe,colecao_mapbiomas,unidade_medida,_camada,_arquivo_origem,_data_processamento,_periodo_integracao
2000,1. Forest,1. Floresta,Vegetação Nativa,558642159.22,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2000,2. Non Forest Natural Formation,2. Formação Natural Não Florestal,Vegetação Nativa,51097021.67,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2000,3. Farming,3. Agropecuária,Agropecuária,217977838.41,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2000,4. Non vegetated area,4. Área Não Vegetada,Área Não Vegetada,4653906.93,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2000,5. Water and Marine Environment,5. Água e Ambiente Marinho,Água,18309986.73,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2000,6. Not Observed,6. Não Observado,Não Observado,3695.75,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2001,1. Forest,1. Floresta,Vegetação Nativa,555792008.36,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2001,2. Non Forest Natural Formation,2. Formação Natural Não Florestal,Vegetação Nativa,51438309.67,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2001,3. Farming,3. Agropecuária,Agropecuária,220988702.13,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2001,4. Non vegetated area,4. Área Não Vegetada,Área Não Vegetada,4724663.75,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
