pais,bioma,regiao,estado,uf,codigo_classe,tipo_supressao,tipo_supressao_simples,nivel_0_origem,classe_nivel_1,ano,area_ha,tem_desmatamento,periodo_politica,colecao_mapbiomas,unidade_medida,_camada,_arquivo_origem,_encoding_original,_data_processamento,_periodo_integracao
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2000,55316.1398804933,True,1. Pré-PPCDAm (antes 2004),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2000,1.84662896118164,True,1. Pré-PPCDAm (antes 2004),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2000,176.900955731201,True,1. Pré-PPCDAm (antes 2004),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2001,43393.1497026795,True,1. Pré-PPCDAm (antes 2004),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2001,5.10784126586914,True,1. Pré-PPCDAm (antes 2004),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2001,124.421897241211,True,1. Pré-PPCDAm (antes 2004),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2002,72370.5465133727,True,1. Pré-PPCDAm (antes 2004),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2002,2.46605619506836,True,1. Pré-PPCDAm (antes 2004),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2002,113.211907617188,True,1. Pré-PPCDAm (antes 2004),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2003,80010.6055882563,True,1. Pré-PPCDAm (antes 2004),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
