UF;Ano;Mes;Chuva_mm
AC;2000;01;242.54
AC;2000;02;253.76
AC;2000;03;266.9
AC;2000;04;192.86
AC;2000;05;50.07
AC;2000;06;16.15
AC;2000;07;36.62
AC;2000;08;73.27
AC;2000;09;93.9
AC;2000;10;159.97
AC;2000;11;227.52
AC;2000;12;202.35
AC;2000;13;1815.91
AC;2001;01;348.21
AC;2001;02;296.57
AC;2001;03;264.3
AC;2001;04;150.05
AC;2001;05;57.87
AC;2001;06;49.82
AC;2001;07;64.71
AC;2001;08;16.71
AC;2001;09;84.21
AC;2001;10;153.04
AC;2001;11;185.58
AC;2001;12;254.9
AC;2001;13;1925.97
AC;2002;01;233.18
AC;2002;02;266.94
AC;2002;03;220.95
AC;2002;04;224.96
AC;2002;05;95.58
AC;2002;06;21.71
AC;2002;07;22.45
AC;2002;08;83.56
AC;2002;09;74.6
AC;2002;10;140.05
AC;2002;11;168.05
AC;2002;12;232.36
AC;2002;13;1784.39
AC;2003;01;220.73
AC;2003;02;231.09
AC;2003;03;294.03
AC;2003;04;194.55
AC;2003;05;79.24
AC;2003;06;39.25
AC;2003;07;9.16
AC;2003;08;58.13
AC;2003;09;177.76
AC;2003;10;160.32
AC;2003;11;141.05
AC;2003;12;298.88
AC;2003;13;1904.19
AC;2004;01;242.77
AC;2004;02;257.99
AC;2004;03;317.37
AC;2004;04;174.63
AC;2004;05;65.7
AC;2004;06;43.21
AC;2004;07;53.51
AC;2004;08;70.83
AC;2004;09;66.16
AC;2004;10;165.67
AC;2004;11;207.3
AC;2004;12;237.68
AC;2004;13;1902.82
AC;2005;01;165.79
AC;2005;02;290.55
AC;2005;03;213.95
AC;2005;04;216.11
AC;2005;05;24.77
AC;2005;06;9.71
AC;2005;07;7.05
AC;2005;08;11.61
AC;2005;09;33.41
AC;2005;10;173.23
AC;2005;11;265.38
AC;2005;12;269.14
AC;2005;13;1680.7
AC;2006;01;212.27
AC;2006;02;332.92
AC;2006;03;226.67
AC;2006;04;134.69
AC;2006;05;51.75
AC;2006;06;13.6
AC;2006;07;30.08
AC;2006;08;32.83
AC;2006;09;71.23
AC;2006;10;97.86
AC;2006;11;200.77
AC;2006;12;282.06
AC;2006;13;1686.73
AC;2007;01;272.27
AC;2007;02;292.67
AC;2007;03;191.02
AC;2007;04;140.76
AC;2007;05;145.8
AC;2007;06;17.33
AC;2007;07;26.03
AC;2007;08;20.45
AC;2007;09;100.91
AC;2007;10;132.51
AC;2007;11;178.47
AC;2007;12;209.84
AC;2007;13;1728.06
AC;2008;01;323.25
AC;2008;02;219.52
AC;2008;03;186.47
AC;2008;04;97.0
AC;2008;05;43.56
AC;2008;06;38.85
AC;2008;07;52.72
AC;2008;08;23.3
AC;2008;09;51.37
AC;2008;10;137.71
AC;2008;11;196.83
AC;2008;12;310.12
AC;2008;13;1680.7
AC;2009;01;192.31
AC;2009;02;213.02
AC;2009;03;183.91
AC;2009;04;350.84
AC;2009;05;108.78
AC;2009;06;32.4
AC;2009;07;24.19
AC;2009;08;71.25
AC;2009;09;70.03
AC;2009;10;164.46
AC;2009;11;255.11
AC;2009;12;402.53
AC;2009;13;2068.83
AC;2010;01;401.74
AC;2010;02;272.54
AC;2010;03;320.93
AC;2010;04;53.04
AC;2010;05;102.3
AC;2010;06;7.92
